Date,Adj Close,Close,High,Low,Open,Volume
2004-06-23,4.2377824783325195,4.300000190734863,4.324999809265137,3.6875,3.75,43574400
2004-06-24,4.1293745040893555,4.190000057220459,4.422500133514404,4.125,4.387499809265137,8887200
2004-06-25,3.8928465843200684,3.950000047683716,4.1875,3.947499990463257,4.127500057220459,6710000
2004-06-28,3.9421231746673584,4.0,4.052499771118164,3.859999895095825,4.0,2270800
2004-06-29,4.040676593780518,4.099999904632568,4.175000190734863,3.9574999809265137,4.0,2112000
2004-06-30,3.959369421005249,4.017499923706055,4.235000133514404,4.007500171661377,4.099999904632568,2087600
2004-07-01,3.949514865875244,4.007500171661377,4.050000190734863,3.9749999046325684,4.019999980926514,1754800
2004-07-02,4.183578014373779,4.244999885559082,4.244999885559082,4.012499809265137,4.025000095367432,993200
2004-07-06,4.18850564956665,4.25,4.25,4.119999885559082,4.232500076293945,1216800
2004-07-07,4.018502235412598,4.077499866485596,4.224999904632568,4.012499809265137,4.224999904632568,1787600
2004-07-08,3.878063440322876,3.934999942779541,4.077499866485596,3.9149999618530273,4.077499866485596,2179200
2004-07-09,4.040676593780518,4.099999904632568,4.142499923706055,3.9749999046325684,3.984999895095825,596800
2004-07-12,4.12691068649292,4.1875,4.207499980926514,4.037499904632568,4.150000095367432,780800
2004-07-13,3.9618334770202637,4.019999980926514,4.184999942779541,4.019999980926514,4.184999942779541,1674000
2004-07-14,3.855888843536377,3.9124999046325684,4.012499809265137,3.8949999809265137,4.012499809265137,2366000
2004-07-15,3.779510736465454,3.8350000381469727,3.950000047683716,3.734999895095825,3.9375,1806000
2004-07-16,3.9421231746673584,4.0,4.099999904632568,3.740000009536743,3.8499999046325684,3278800
2004-07-19,3.944587230682373,4.002500057220459,4.042500019073486,3.9574999809265137,4.012499809265137,954800
2004-07-20,3.95690655708313,4.014999866485596,4.045000076293945,3.882499933242798,4.002500057220459,2245200
2004-07-21,2.8826775550842285,2.924999952316284,4.025000095367432,2.762500047683716,4.025000095367432,25415200
2004-07-22,3.198047161102295,3.244999885559082,3.2950000762939453,2.825000047683716,2.887500047683716,9824800
2004-07-23,3.212830066680908,3.259999990463257,3.375,3.1875,3.237499952316284,1674400
